make,model,year,cylinders,displ,fuelType,VClass,mpg
42,2066,1993,6.0,1.222375576084526,12,22,15
42,2066,1993,6.0,1.222375576084526,12,22,15
42,2066,1993,8.0,1.2970997450955415,12,22,15
42,2066,1993,8.0,1.2970997450955415,12,22,15
134,4782,1985,4.0,-0.9446253252349309,12,30,20
42,2066,1993,8.0,1.2970997450955415,12,22,14
42,2066,1993,8.0,1.2970997450955415,12,22,15
42,2066,1993,8.0,1.8948930971836675,12,22,13
42,2089,1993,6.0,1.222375576084526,12,22,15
42,2089,1993,6.0,1.222375576084526,12,22,15
42,2089,1993,6.0,1.222375576084526,12,22,15
42,2089,1993,8.0,1.2970997450955415,12,22,14
42,2089,1993,8.0,1.2970997450955415,12,22,14
42,2089,1993,8.0,1.2970997450955415,12,22,15
42,2089,1993,8.0,1.8948930971836675,12,22,12
134,4782,1985,4.0,-0.9446253252349309,12,30,21
42,3827,1993,4.0,-0.7204528182018839,12,22,20
42,3827,1993,4.0,-0.7204528182018839,12,22,22
42,3827,1993,6.0,-0.19738363512477344,12,22,18
42,3827,1993,6.0,-0.19738363512477344,12,22,19
42,3827,1993,6.0,0.5498580549853841,12,22,17
42,3827,1993,6.0,0.5498580549853841,12,22,18
43,4215,1993,6.0,0.7740305620184312,12,22,17
43,4215,1993,6.0,0.7740305620184312,12,22,17
43,4215,1993,6.0,0.7740305620184312,12,22,16
43,4215,1993,6.0,0.7740305620184312,12,22,16
32,1435,1985,4.0,-1.3182461702900097,12,28,27
140,4789,1985,4.0,-1.019349494245947,12,30,16
43,4215,1993,8.0,1.2970997450955415,12,22,15
43,4215,1993,8.0,1.2970997450955415,12,22,15
43,4215,1993,8.0,1.820168928172652,12,22,14
43,4215,1993,8.0,1.820168928172652,12,22,14
43,4215,1993,8.0,1.820168928172652,12,22,14
43,4218,1993,6.0,0.7740305620184312,12,22,17
43,4218,1993,6.0,0.7740305620184312,12,22,16
43,4218,1993,6.0,0.7740305620184312,12,22,16
43,4218,1993,8.0,1.2970997450955415,12,22,14
43,4218,1993,8.0,1.2970997450955415,12,22,15
140,4789,1985,4.0,-1.019349494245947,12,30,17
43,4218,1993,8.0,1.820168928172652,12,22,14
43,4218,1993,8.0,1.820168928172652,12,22,14
43,4218,1993,8.0,1.820168928172652,12,22,13
83,962,1993,4.0,-0.7951769872128993,12,22,20
83,962,1993,4.0,-0.7951769872128993,12,22,20
83,962,1993,4.0,-0.7951769872128993,12,22,20
83,962,1993,4.0,-0.7951769872128993,12,22,22
83,962,1993,4.0,-0.4962803111688364,12,22,19
83,962,1993,4.0,-0.4962803111688364,12,22,19
134,4456,1993,4.0,-0.645728649190868,12,22,21
0,3411,1985,4.0,-0.5710044801798522,12,15,16
134,4456,1993,4.0,-0.645728649190868,12,22,22
134,4456,1993,6.0,-0.19738363512477344,12,22,18
134,4456,1993,6.0,-0.19738363512477344,12,22,16
134,4456,1993,6.0,-0.19738363512477344,12,22,17
25,2668,1993,6.0,0.7740305620184312,12,22,15
25,2668,1993,6.0,0.7740305620184312,12,22,15
25,2668,1993,6.0,0.7740305620184312,12,22,16
25,2668,1993,8.0,1.2970997450955415,12,22,14
25,2668,1993,8.0,1.2970997450955415,12,22,13
25,2668,1993,8.0,1.820168928172652,12,22,13
0,3412,1985,6.0,0.6993063930074157,12,15,13
25,2668,1993,8.0,1.820168928172652,12,22,13
25,2668,1993,8.0,1.820168928172652,12,22,12
25,2668,1993,8.0,2.193789773227731,1,22,17
25,3396,1993,6.0,0.7740305620184312,12,22,15
25,3396,1993,6.0,0.7740305620184312,12,22,14
25,3396,1993,6.0,0.7740305620184312,12,22,15
25,3396,1993,8.0,1.2970997450955415,12,22,14
25,3396,1993,8.0,1.2970997450955415,12,22,13
25,3396,1993,8.0,1.820168928172652,12,22,13
25,3396,1993,8.0,1.820168928172652,12,22,13
25,4432,1985,8.0,1.2970997450955415,12,15,14
25,3396,1993,8.0,1.820168928172652,12,22,12
25,3396,1993,8.0,2.193789773227731,1,22,17
25,3909,1993,6.0,0.7740305620184312,12,22,16
25,3909,1993,6.0,0.7740305620184312,12,22,16
92,4673,1993,4.0,-0.645728649190868,12,22,18
92,4673,1993,6.0,-0.19738363512477344,12,22,15
92,4673,1993,6.0,-0.19738363512477344,12,22,15
32,1630,1993,6.0,0.47513388597436823,12,22,14
32,1630,1993,6.0,0.47513388597436823,12,22,15
32,1630,1993,8.0,1.4465480831175732,12,22,13
25,4432,1985,8.0,1.820168928172652,12,15,13
32,3415,1993,4.0,-0.645728649190868,12,22,17
32,3415,1993,4.0,-0.645728649190868,12,22,18
32,4864,1993,6.0,0.47513388597436823,12,22,14
32,4864,1993,6.0,0.47513388597436823,12,22,13
